source_id,target_arti_id,ref_type,raw_citation
ART003089612,,단행본,"<title>AI 이후의 세계, 챗 GPT는 시작일 뿐이다, 세계질서 대전환에 대비하라</title>
          <author>Kissinger, Henry a.</author>
          <pubilisher>윌북</pubilisher>
          <pubi-year>2023</pubi-year>
          <page>-</page>"
ART003089612,ART002717326,학술지(정기간행물),"<title>TDM 관련 저작권법 개정안의 비판적 고찰 – 기술적보호조치 관점에서의 비교법적 검토-</title>
          <author>김경숙</author>
          <journal-name>경영법률</journal-name>
          <pubi-year>2021</pubi-year>
          <volume>31</volume>
          <isseue>3</isseue>
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,ART002994529,학술지(정기간행물),"<title>인공지능(AI) 생성물과 저작권 문제</title>
          <author>김경숙</author>
          <journal-name>IT와 법연구</journal-name>
          <pubi-year>2023</pubi-year>
          <volume />
          <isseue>27</isseue>
          <serno />
          <page>-</page>
          <pubilisher>경북대학교 IT와 법 연구소</pubilisher>
          <doi />"
ART003089612,ART002212100,학술지(정기간행물),"<title>빅데이터 분석과 데이터 마이닝을 위한 저작권 제한</title>
          <author>김병일 ; 신현철 ; 안창원</author>
          <journal-name>계간 저작권</journal-name>
          <pubi-year>2017</pubi-year>
          <volume>30</volume>
          <isseue>1</isseue>
          <serno />
          <page>-</page>
          <pubilisher>한국저작권위원회</pubilisher>
          <doi />"
ART003089612,ART002946696,학술지(정기간행물),"<title>데이터 공정이용</title>
          <author>김윤명</author>
          <journal-name>계간 저작권</journal-name>
          <pubi-year>2023</pubi-year>
          <volume />
          <isseue>봄</isseue>
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,,학술지(정기간행물),"<title>생성형 AI와 저작권 현안</title>
          <author>김윤명</author>
          <journal-name>KISDI AI Outlook</journal-name>
          <pubi-year>2023</pubi-year>
          <volume>13</volume>
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,,보고서,"<title>기계학습의 발전 동향, 산업화 사례 및 활성화 정책 방향</title>
          <author>김인중</author>
          <pubilisher>소프트웨어정책연구소</pubilisher>
          <pubi-year>2015</pubi-year>
          <page>-</page>"
ART003089612,,학술지(정기간행물),"<title>생성형 AI를 둘러싼 최근 저작권 분쟁 동향과 시사점</title>
          <author>김창화</author>
          <journal-name>규제법제 리뷰</journal-name>
          <pubi-year>2024</pubi-year>
          <volume />
          <isseue>24-1</isseue>
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,ART002732507,학술지(정기간행물),"<title>데이터 마이닝과 저작권 면책의 범위 및 한계</title>
          <author>김창화</author>
          <journal-name>계간 저작권</journal-name>
          <pubi-year>2021</pubi-year>
          <volume />
          <isseue>여름</isseue>
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,,보고서,"<title>생성형AI와 저작권 쟁점</title>
          <author>김현경</author>
          <pubilisher>스타트업 얼라이언스</pubilisher>
          <pubi-year />
          <page>-</page>"
ART003089612,ART002993622,학술지(정기간행물),"<title>텍스트·데이터 마이닝(TDM) 관련 저작권법상 쟁점 검토- 저작물과 데이터베이스의 차별적 취급을 중심으로-</title>
          <author>김현경</author>
          <journal-name>비교사법</journal-name>
          <pubi-year>2023</pubi-year>
          <volume>30</volume>
          <isseue>3</isseue>
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,ART002929583,학술지(정기간행물),"<title>저작권법상 텍스트·데이터 마이닝(TDM) 면책규정 도입 방향의 검토</title>
          <author>류시원</author>
          <journal-name>선진상사법률연구</journal-name>
          <pubi-year>2023</pubi-year>
          <volume />
          <isseue />
          <serno>101</serno>
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,ART002652312,학술지(정기간행물),"<title>텍스트 및 데이터 마이닝을 목적으로 하는 타인의 저작물의 수집·이용과 저작재산권의 제한 – 인공지능 빅데이터 활용을 중심으로-</title>
          <author>박성호</author>
          <journal-name>인권과 정의</journal-name>
          <pubi-year>2020</pubi-year>
          <volume>494</volume>
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,ART002566229,학술지(정기간행물),"<title>인공지능 학습과정에서 저작물의 이용에 관한 소고</title>
          <author>박현경</author>
          <journal-name>스포츠엔터테인먼트와 법</journal-name>
          <pubi-year>2020</pubi-year>
          <volume>23</volume>
          <isseue>1</isseue>
          <serno>62</serno>
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,ART002972530,학술지(정기간행물),"<title>이미지 생성형 인공지능과 학습데이터에 대한 저작권법적 쟁점</title>
          <author>신서혜</author>
          <journal-name>The Journal of Law &amp; IP</journal-name>
          <pubi-year>2023</pubi-year>
          <volume>13</volume>
          <isseue>1</isseue>
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,,학술지(정기간행물),"<title>ChatGPT를 넘어 생성형 AI시대로</title>
          <author>양지훈</author>
          <journal-name>Media Issue &amp; Trend</journal-name>
          <pubi-year />
          <volume>55</volume>
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher>한국방송통신전파진흥원</pubilisher>
          <doi />"
ART003089612,,기타자료,"<title>저작권침해에 있어서의 의거성 판단과 일반 불법행위 성립 여부-서울고등법원 2012. 12. 20. 선고 2012나17150판결</title>
          <author>오승종</author>"
ART003089612,,보고서,"<title>생성형 AI의 지식재산 법제 이슈</title>
          <author>유계환</author>
          <pubilisher>한국지식재산연구원</pubilisher>
          <pubi-year>2023</pubi-year>
          <page>-</page>"
ART003089612,,보고서,"<title>주요국의 AI 규제 동향 및 시사점 - 생성형 AI 서비스 제공자의 책임을 중심으로-</title>
          <author>유계환</author>
          <pubilisher>한국지식재산연구원</pubilisher>
          <pubi-year>2024</pubi-year>
          <page>-</page>"
ART003089612,,기타자료,"<title>영국 지식재산청, 텍스트와 데이터마이닝(TDM) 관련 저작권법 개정 추진</title>
          <author>유혜정</author>"
ART003089612,,보고서,"<title>마이크로소프트의 GitHub Copilot, 오픈소스 관련 첫 번쨰 저작권 분쟁 시작</title>
          <author>이나라</author>
          <pubilisher>한국저작권위원회</pubilisher>
          <pubi-year>2022</pubi-year>
          <page>-</page>"
ART003089612,ART003025584,학술지(정기간행물),"<title>생성형 AI 확산과 저작권 규율 방안</title>
          <author>정윤경</author>
          <journal-name>IP &amp; Data 法</journal-name>
          <pubi-year>2023</pubi-year>
          <volume>3</volume>
          <isseue>2</isseue>
          <serno />
          <page>-</page>
          <pubilisher>인하대학교 법학연구소</pubilisher>
          <doi />"
ART003089612,ART002366061,학술지(정기간행물),"<title>오픈소스 플랫폼에서의 인공지능에 의한 창작의 보호</title>
          <author>정진근</author>
          <journal-name>강원법학</journal-name>
          <pubi-year />
          <volume>54</volume>
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher>강원대학교 비교법학연구소</pubilisher>
          <doi />"
ART003089612,ART002959695,학술지(정기간행물),"<title>인공지능 시스템에 대한 저작권보호에 관한 연구</title>
          <author>정충원</author>
          <journal-name>법학연구</journal-name>
          <pubi-year>2023</pubi-year>
          <volume>31</volume>
          <isseue>2</isseue>
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,ART002343442,학술지(정기간행물),"<title>빅데이터의 지적재산권법상보호</title>
          <author>차상육</author>
          <journal-name>법조</journal-name>
          <pubi-year>2018</pubi-year>
          <volume>67</volume>
          <isseue>2</isseue>
          <serno />
          <page>-</page>
          <pubilisher>법조협회</pubilisher>
          <doi />"
ART003089612,ART002571003,학술지(정기간행물),"<title>인공지능 창작물의 저작권법상 보호 쟁점에 대한 개정방안에 관한 연구</title>
          <author>차상육</author>
          <journal-name>계간 저작권</journal-name>
          <pubi-year>2020</pubi-year>
          <volume />
          <isseue>봄</isseue>
          <serno />
          <page>-</page>
          <pubilisher>한국저작권위원회</pubilisher>
          <doi />"
ART003089612,ART002777504,학술지(정기간행물),"<title>저작권법상 인공지능 학습용 데이터셋의 보호와 쟁점 – 텍스트·데이터마이닝(TDM) 면책규정을 중심으로-</title>
          <author>차상육</author>
          <journal-name />
          <pubi-year />
          <volume />
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003089612,,보고서,"<title>AI시대의 뉴스 저작권: 기술의 발전과 법의 경계에서</title>
          <author>천현진</author>
          <pubilisher>한국언론진흥재단</pubilisher>
          <pubi-year>2023</pubi-year>
          <page>-</page>"
ART003089612,ART002623295,학술지(정기간행물),"<title>인공지능 로봇의 오작동에 의한 사고로 인한 불법행위책임</title>
          <author>최민수</author>
          <journal-name>민사법의 이론과 실무</journal-name>
          <pubi-year>2020</pubi-year>
          <volume>23</volume>
          <isseue>3</isseue>
          <serno />
          <page>-</page>
          <pubilisher>민사법의 이론과 실무학회</pubilisher>
          <doi />"
ART003089612,ART002829080,학술지(정기간행물),"<title>빅데이터의 분석과 활용을 위한 TDM의 저작권적 쟁점과 입법론</title>
          <author>최상필</author>
          <journal-name>계간저작권</journal-name>
          <pubi-year>2022</pubi-year>
          <volume>35</volume>
          <isseue>1</isseue>
          <serno />
          <page>-</page>
          <pubilisher>한국저작권위원회</pubilisher>
          <doi />"
ART003089612,,보고서,"<title>마이크로소프트의 GitHub Copilot, 오픈소스 관련 첫 번쨰 저작권 분쟁 시작</title>
          <author>한국저작권위원회</author>
          <pubilisher />
          <pubi-year>2022</pubi-year>
          <page>-</page>"
ART003089612,ART002886250,학술지(정기간행물),"<title>데이터 권리의 귀속에 관한 일반원칙 정립의 필요성- ALI-ELI 데이터 원칙의 내용과 규율 방향을 중심으로 -</title>
          <author>황원재</author>
          <journal-name>고려법학</journal-name>
          <pubi-year>2022</pubi-year>
          <volume />
          <isseue>106</isseue>
          <serno />
          <page>-</page>
          <pubilisher>고려대학교 법학연구원</pubilisher>
          <doi />"
ART003089612,,보고서,"<title>저작권법 일부개정법률안 검토보고서: 도종완의원 대표발의</title>
          <author>문화체육관광위원회</author>
          <pubilisher />
          <pubi-year>2021</pubi-year>
          <page>-</page>"
ART003089612,,보고서,"<title>저작권법 일부개정법률안 검토보고서: 이용호 의원 대표발의, 의안번호 제2117990호</title>
          <author>문화체육관광위원회</author>
          <pubilisher />
          <pubi-year>2022</pubi-year>
          <page>-</page>"
ART003089612,,보고서,"<title>저작권법 일부개정법률안 검토보고서: 황보승희 의원 대표발의, 의안번호 제2122537호</title>
          <author>문화체육관광위원회</author>
          <pubilisher />
          <pubi-year>2023</pubi-year>
          <page>-</page>"
ART003089612,,보고서,"<title>저작권법 일부개정법률안 검토보고서: 이인영 의원 대표발의, 의안번호 제2124685호</title>
          <author>문화체육관광위원회</author>
          <pubilisher />
          <pubi-year>2022</pubi-year>
          <page>-</page>"
ART003089612,,인터넷자원,"<title>Generative Artificial Intelligence and Copyright Law</title>
          <author>Congressional Research Service</author>
          <url><![CDATA[https://crsreports.congress.gov/product/pdf/LSB/LSB10922]]></url>
          <citation-day />
          <site-name />
          <pubilisher />
          <registration-day>2023</registration-day>"
ART003089612,,인터넷자원,"<title>The Alt-Right Manipulated My Comic. Then A.I. Claimed It</title>
          <author>Sarah Andersen</author>
          <url><![CDATA[https://www.nytimes.com/2022/12/31/opinion/sarah-andersen-howalgorithim-took-my-work.html]]></url>
          <citation-day />
          <site-name />
          <pubilisher />
          <registration-day>2022</registration-day>"
ART003089612,,인터넷자원,"<title>Extracting Training Data from Large Language Models</title>
          <author>Nicholas Carlini</author>
          <url><![CDATA[https://arxiv.org/abs/2012.07805]]></url>
          <citation-day>2023</citation-day>
          <site-name />
          <pubilisher />
          <registration-day />"
ART003089612,,기타자료,"<title>DIRECTIVE (EU) 2019/790 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 17 April 2019 on copyright and related rights in the Digital Single Market and amending Directives 96/9/EC and 2001/29/EC</title>
          <author />"
ART003089612,,기타자료,"<title>New York Times Company v. Microsoft Corp. and OpenAI, et al., 1:23-cv-11195 (S.D.N.Y.2023)</title>
          <author />"
ART003089612,,기타자료,"<title>Doe v. GitHub, Inc., et al., 22-cv-06823-JST (DMR) (N.D. Cal. Nov. 28, 2023)</title>
          <author />"
ART003089612,,기타자료,"<title>Authors Guild v. Google, Inc., 804 F.3d 202 (2nd Cir. 2015)</title>
          <author />"
ART003089612,,기타자료,"<title>Craigslist, Inc. v. RadPad, Inc., CV. 16-01856 (N.D. Cal. Apr. 13, 2017)</title>
          <author />"
ART003089612,,인터넷자원,"<title>네이버 지식백과</title>
          <author />
          <url><![CDATA[https://terms.naver.com/entry.naver?docId=6559367&cid=59277&categoryId=69439]]></url>
          <citation-day />
          <site-name />
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>Open AI</title>
          <author />
          <url><![CDATA[https://openai.com/]]></url>
          <citation-day />
          <site-name />
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>Github Website</title>
          <author />
          <url><![CDATA[https://github.com/github]]></url>
          <citation-day />
          <site-name />
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>위키백과</title>
          <author />
          <url><![CDATA[https://ko.wikipedia.org/wiki/%EB%8C%80%ED%98%95_%EC%96%B8%EC%96%B4_%EB%AA%A8%EB%8D%B8]]></url>
          <citation-day />
          <site-name />
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>생성형 AI 시장, 향후 10년간 30배 성장... 2032년 1700조원 규모</title>
          <author>정미하</author>
          <url><![CDATA[https://biz.chosun.com/international/international_economy/2023/06/02/WQERZVFV6ZEVJJXIETZ6OBMTSI/]]></url>
          <citation-day />
          <site-name>조선비즈</site-name>
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>Copyright infringement class action against Microsoft, Open AI and GitHub concerning Co-pilot AI tool</title>
          <author>Bristows</author>
          <url><![CDATA[https://inquisitiveminds.bristows.com/post/102i13i/copyright-infringement-class-action-against-microsoft-open-ai-and-github-concern]]></url>
          <citation-day />
          <site-name />
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>Judge pares down artists' AI copyright lawsuit against Midjourney, Stability AI</title>
          <author>Reuters</author>
          <url><![CDATA[https://www.reuters.com/legal/litigation/judge-pares-down-artists-ai-copyright-lawsuit-against-midjourney-stability-ai-2023-10-30/]]></url>
          <citation-day />
          <site-name />
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>생성형 AI 저작권 소송 첫 판결, “유사성 부족”으로 아티스트 패배</title>
          <author>Anirban Ghoshal</author>
          <url><![CDATA[https://www.itworld.co.kr/news/312356]]></url>
          <citation-day />
          <site-name>Itworld</site-name>
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>생성형 AI 저작권 첫 판결…美 법원 “저작권 침해 아니다”</title>
          <author>권혜미</author>
          <url><![CDATA[https://www.etnews.com/20231101000358]]></url>
          <citation-day />
          <site-name>전자신문</site-name>
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>네이버, 사우디·일본 넘어 세계로…국가별 특화된 AI로 승부수</title>
          <author>안재광</author>
          <url><![CDATA[https://www.hankyung.com/article/2023111980091]]></url>
          <citation-day />
          <site-name>한경</site-name>
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>한국신문협회</title>
          <author />
          <url><![CDATA[http://www.presskorea.or.kr/notice/board_detail.php?m=3&sm=12&tm=26&seq=265529&board_id=PBC&page=1&sort=2&search_select=3&search_text=]]></url>
          <citation-day />
          <site-name />
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>소비자 권한 강화하는 EU의 제조물 책임지침 개정, 우리 기업 대비는?</title>
          <author>코트라</author>
          <url><![CDATA[https://dream.kotra.or.kr/kotranews/cms/news/actionKotraBoardDetail.do?SITE_NO=3&MENU_ID=80&CONTENTS_NO=2&bbsGbn=242&bbsSn=242&pNttSn=197663]]></url>
          <citation-day />
          <site-name />
          <pubilisher />
          <registration-day />"
ART003089612,,인터넷자원,"<title>‘생성형 AI’ 창작자 세상이 온다…미술계의 미래는?</title>
          <author>최은수</author>
          <url><![CDATA[https://www.lgcns.com/blog/it-trend/37644/]]></url>
          <citation-day />
          <site-name>LG CNS</site-name>
          <pubilisher />
          <registration-day />"
ART003024313,,,"<reference refebibl-id=""REF068794504"" type-code=""03"" type-name=""단행본"">
          <title>AI는 차별을 인간에게서 배운다</title>
          <author>고학수</author>
          <pubilisher>21세기 북스</pubilisher>
          <pubi-year>2022</pubi-year>
          <page>-</page>"
ART003024313,,단행본,"<title>구글은 어떻게 여성을 차별하는가(원제 : Algorithms Of Oppression)-보이지 않게 차별·혐오·불평등을 생성하고 유통하는 알고리즘의 숨은 속성을 들여다보다-</title>
          <author>사피야 우모자 노블</author>
          <pubilisher>한스미디어</pubilisher>
          <pubi-year>2019</pubi-year>
          <page>-</page>"
ART003024313,,단행본,"<title>지능의 탄생-RNA에서 인공지능까지-</title>
          <author>이대열</author>
          <pubilisher>바다출판사</pubilisher>
          <pubi-year>2017</pubi-year>
          <page>-</page>"
ART003024313,,단행본,"<title>대량살상 수학무기(원제: Weapons of Math Destruction):어떻게 빅데이터는 불평등을 확신하고 민주주의를 위협하는가</title>
          <author>캐시 오닐</author>
          <pubilisher>흐름출판</pubilisher>
          <pubi-year>2017</pubi-year>
          <page>-</page>"
ART003024313,,단행본,"<title>지능이란 무엇인가?</title>
          <author>하워드 가드너</author>
          <pubilisher>사회평론</pubilisher>
          <pubi-year>2016</pubi-year>
          <page>-</page>"
ART003024313,,보고서,"<title>사법부에서의 인공지능(AI)활용 방안</title>
          <author>고학수</author>
          <pubilisher>법원행정처</pubilisher>
          <pubi-year>2020</pubi-year>
          <page>-</page>"
ART003024313,ART002452872,학술지(정기간행물),"<title>인공지능과 차별</title>
          <author>고학수 ; 정해빈 ; 박도현</author>
          <journal-name>저스티스</journal-name>
          <pubi-year>2019</pubi-year>
          <volume>171</volume>
          <isseue />
          <serno />
          <page>199-277</page>
          <pubilisher>한국법학원</pubilisher>
          <doi><![CDATA[http://dx.doi.org/10.29305/tj.2019.04.171.199]]></doi>"
ART003024313,ART002465105,학술지(정기간행물),"<title>인공지능과 고용차별의 법경제학 : 블라인드 채용과 베일의 역설을 중심으로</title>
          <author>박도현 ; 고학수 ; 정해빈</author>
          <journal-name>법경제학연구</journal-name>
          <pubi-year>2019</pubi-year>
          <volume>16</volume>
          <isseue>1</isseue>
          <serno />
          <page>39-70</page>
          <pubilisher>한국법경제학회</pubilisher>
          <doi><![CDATA[http://dx.doi.org/10.46758/kjle.2019.04.16.1.39]]></doi>"
ART003024313,,학술대회논문,"<title>인공지능 차별 심사 기준(금융 인공지능을 중심으로)</title>
          <author>김병필</author>
          <conference-name>한국과학기술학회 학술대회</conference-name>
          <pubi-year>2021</pubi-year>
          <volume />
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003024313,,학술지(정기간행물),"<title>인공지능에 의한 차별과 공정성 기준</title>
          <author>김병필</author>
          <journal-name>인공지능 윤리와 거버넌스</journal-name>
          <pubi-year>2021</pubi-year>
          <volume />
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003024313,ART002682496,학술지(정기간행물),"<title>인공지능 알고리즘 규제 현황과 최근동향 및 법적함의 -인공지능 편향성 문제를 중심으로-</title>
          <author>김정민</author>
          <journal-name>The Digital Ethics(디지털 윤리)</journal-name>
          <pubi-year>2020</pubi-year>
          <volume>4</volume>
          <isseue>2</isseue>
          <serno />
          <page>27-42</page>
          <pubilisher>한국인터넷윤리학회</pubilisher>
          <doi />"
ART003024313,ART002570558,학술지(정기간행물),"<title>데이터 윤리에서 인공지능 편향성 문제에 대한 연구</title>
          <author>변순용</author>
          <journal-name>倫理硏究</journal-name>
          <pubi-year>2020</pubi-year>
          <volume>1</volume>
          <isseue>128</isseue>
          <serno />
          <page>143-158</page>
          <pubilisher>한국윤리학회</pubilisher>
          <doi><![CDATA[http://dx.doi.org/10.15801/je.1.128.202003.143]]></doi>"
ART003024313,,학술지(정기간행물),"<title>기계가 드러내는 편향, ‘이루다’만 문제였을까?</title>
          <author>오세욱</author>
          <journal-name>KISO 저널</journal-name>
          <pubi-year>2021</pubi-year>
          <volume>42</volume>
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003024313,,단행본,"<title>유럽(EU)의 인공지능 윤리 정책 현황과 시사점 : 원칙에서실천으로</title>
          <author>유재흥</author>
          <pubilisher>SPRi 소프트웨어정책연구소</pubilisher>
          <pubi-year>2021</pubi-year>
          <page>-</page>"
ART003024313,,단행본,"<title>인공지능(AI)윤리와 법(I)AI 윤리의 쟁점과 거버넌스 연구</title>
          <author>이상욱</author>
          <pubilisher>유네스코한국위원회</pubilisher>
          <pubi-year>2021</pubi-year>
          <page>-</page>"
ART003024313,ART002800843,학술지(정기간행물),"<title>인공지능과 헌법적 쟁점 - 인공지능의 차별에 관한 유럽에서의 논의를 중심으로</title>
          <author>이현정</author>
          <journal-name>헌법재판연구</journal-name>
          <pubi-year>2021</pubi-year>
          <volume>8</volume>
          <isseue>2</isseue>
          <serno />
          <page>101-130</page>
          <pubilisher>헌법재판연구원</pubilisher>
          <doi><![CDATA[http://dx.doi.org/10.35215/jcj.2021.8.2.004]]></doi>"
ART003024313,ART002939067,학술지(정기간행물),"<title>인공지능 챗봇의 편향 통제를 위한 윤리 가이드라인</title>
          <author>이희옥</author>
          <journal-name>공법연구</journal-name>
          <pubi-year>2023</pubi-year>
          <volume>51</volume>
          <isseue>3</isseue>
          <serno />
          <page>715-744</page>
          <pubilisher>한국공법학회</pubilisher>
          <doi />"
ART003024313,,학위논문,"<title>인공지능 언어모델에 대한 규범적 연구-일반 대화형 챗봇에 대한 실증연구를 중심으로-</title>
          <author>정종구</author>
          <degree>박사</degree>
          <university>서울대학교</university>
          <department />
          <pubi-year>2022</pubi-year>"
ART003024313,ART002539679,학술지(정기간행물),"<title>인공지능과 젠더차별</title>
          <author>한애라</author>
          <journal-name>이화젠더법학</journal-name>
          <pubi-year>2019</pubi-year>
          <volume>11</volume>
          <isseue>3</isseue>
          <serno />
          <page>1-39</page>
          <pubilisher>젠더법학연구소</pubilisher>
          <doi><![CDATA[http://dx.doi.org/10.22791/ewhagl.2019.11.3.001]]></doi>"
ART003024313,,학술지(정기간행물),"<title>The Hidden Biases in Big Data</title>
          <author>Kate Crawford</author>
          <journal-name>Harvard Business Review</journal-name>
          <pubi-year>2013</pubi-year>
          <volume />
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003024313,,기타자료,"<title>Mind Children: The Future of Robot and Human Intelligence</title>
          <author>Hans P. Moravec</author>"
ART003024313,,기타자료,"<title>How big data is unfair</title>
          <author>Moritz Hardt</author>"
ART003024313,,학술지(정기간행물),"<title>Three Paradoxes of Big Data</title>
          <author>Neil M. Richards</author>
          <journal-name>Stanford Law Review Online</journal-name>
          <pubi-year>2013</pubi-year>
          <volume>66</volume>
          <isseue />
          <serno />
          <page>41-</page>
          <pubilisher />
          <doi />"
ART003024313,,학술지(정기간행물),"<title>Increasing Returns, Path Dependence, and the Study of Politics</title>
          <author>Paul Pierson</author>
          <journal-name>The American Political Science Review</journal-name>
          <pubi-year>2000</pubi-year>
          <volume>94</volume>
          <isseue>2</isseue>
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003024313,,기타자료,"<title>The History of Artificial Intelligence</title>
          <author>Smith, Chris</author>"
ART003024313,,학술대회논문,"<title>Data Mining and the Discourse on Discrimination</title>
          <author>Solon Barocas</author>
          <conference-name>Data Ethics Workshop, Conference on Knowledge Discovery and Data Mining</conference-name>
          <pubi-year>2014</pubi-year>
          <volume />
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003024313,,학술지(정기간행물),"<title>Big Data’s Disparate Impact</title>
          <author>Solon Barocas</author>
          <journal-name>California Law Review</journal-name>
          <pubi-year>2016</pubi-year>
          <volume>104</volume>
          <isseue />
          <serno />
          <page>-</page>
          <pubilisher />
          <doi />"
ART003024313,,학술지(정기간행물),"<title>Dirty Data, Bad Predictions: How Civil Rights Violations Impact Police Data, Predictive Policing Systems, and Justice</title>
          <author>Rashida Richardson</author>
          <journal-name>N.Y.U. L. REV. ONLINE</journal-name>
          <pubi-year>2019</pubi-year>
          <volume>94</volume>
          <isseue />
          <serno />
          <page>192-</page>
          <pubilisher />
          <doi />"
